"ident","source","context","max_length","it","uk"
"ident1","source1","context","20","source1 (modified Import- xml) (modified tr exp- xml)",""
"ident2","source2","context","20","source2 (modified Import- xml) (modified tr exp- xml)",""
"ident3","source3","context","20","source3 (modified Import- xml) (modified tr exp- xml)",""
"ident4","source4","context","20","source4 (modified Import- xml) (modified tr exp- xml)",""
"ident5","source5","context","20","source5 (modified Import- xml) (modified tr exp- xml)",""
"ident6","source6","context","20","source6 (modified Import- xml) (modified tr exp- xml)",""
"ident7","source7","context","20","source7 (modified Import- xml) (modified tr exp- xml)",""
"ident8","source8","context","20","source8 (modified Import- xml) (modified tr exp- xml)",""
"ident9","source9","context","20","source9 (modified Import- xml) (modified tr exp- xml)",""
"ident10","source10","context","20","source10 (modified Import- xml) (modified tr exp- xml)",""
"ident11","source11","context","20","source11 (modified Import- xml) (modified tr exp- xml)",""
"ident12","source12","context","20","source12 (modified Import- xml) (modified tr exp- xml)",""
"ident13","source13","context","20","source13 (modified Import- xml) (modified tr exp- xml)",""
"ident14","source14","context","20","source14 (modified Import- xml) (modified tr exp- xml)",""
"ident15","source15","context","20","source15 (modified Import- xml) (modified tr exp- xml)",""
"ident16","source16","context","20","source16 (modified Import- xml) (modified tr exp- xml)",""
"ident17","source17","context","20","source17 (modified Import- xml) (modified tr exp- xml)",""
"ident18","source18","context","20","source18 (modified Import- xml) (modified tr exp- xml)",""
"ident19","source19","context","20","source19 (modified Import- xml) (modified tr exp- xml)",""
"ident20","source20","context","10","source20 (modified Import- xml) (modified tr exp- xml)",""
