"ident","source","context","max_length","it","uk"
"ident1","source1","context","20","fonte1","source1"
"ident2","source2","context","20","fonte2","source2"
"ident3","source3","context","20","fonte3","source3"
"ident4","source4","context","20","fonte4","source4"
"ident5","source5","context","20","fonte5","source5"
"ident6","source6","context","20","fonte6","source6"
"ident7","source7","context","20","fonte7","source7"
"ident8","source8","context","20","fonte8","source8"
"ident9","source9","context","20","fonte9","source9"
"ident10","source10","context","20","fonte10","source10"
"ident11","source11","context","20","fonte11","source11"
"ident12","source12","context","20","fonte12","source12"
"ident13","source13","context","20","fonte13","source13"
"ident14","source14","context","20","fonte14","source14"
"ident15","source15","context","20","fonte15","source15"
"ident16","source16","context","20","fonte16","source16"
"ident17","source17","context","20","fonte17","source17"
"ident18","source18","context","20","fonte18","source18"
"ident19","source19","context","20","fonte19","source19"
"ident20","source20","context","10","fonte20","source20"
