"ident","source","translate","context"
"ident1","source1","quelle1","context"
"ident2","source2","quelle2","context"
"ident3","source3","quelle3","context"
"ident4","source4","quelle4","context"
"ident5","source5","quelle5","context"
"ident6","source6","quelle6","context"
"ident7","source7","quelle7","context"
"ident8","source8","quelle8","context"
"ident9","source9","quelle9","context"
"ident10","source10","quelle10","context"
"ident11","source11","quelle11","context"
"ident12","source12","quelle12","context"
"ident13","source13","quelle13","context"
"ident14","source14","quelle14","context"
"ident15","source15","quelle15","context"
"ident16","source16","quelle16","context"
"ident17","source17","quelle17","context"
"ident18","source18","quelle18","context"
"ident19","source19","quelle19","context"
"ident20","source20","quelle20","context"
