"ident","source","translate","context"
"ident1","source1","źródło1","context"
"ident2","source2","źródło2","context"
"ident3","source3","źródło3","context"
"ident4","source4","źródło4","context"
"ident5","source5","źródło5","context"
"ident6","source6","źródło6","context"
"ident7","source7","źródło7","context"
"ident8","source8","źródło8","context"
"ident9","source9","źródło9","context"
"ident10","source10","źródło10","context"
"ident11","source11","źródło11","context"
"ident12","source12","źródło12","context"
"ident13","source13","źródło13","context"
"ident14","source14","źródło14","context"
"ident15","source15","źródło15","context"
"ident16","source16","źródło16","context"
"ident17","source17","źródło17","context"
"ident18","source18","źródło18","context"
"ident19","source19","źródło19","context"
"ident20","source20","źródło20","context"
